denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,31,2,33,304,337,-21,0,2487,461,3111,174,3285,103771,69214
Basilicata,1,0,1,6,7,0,0,367,27,401,0,401,39001,38221
Calabria,9,0,9,22,31,1,1,1051,97,1175,4,1179,93372,91388
Campania,45,0,45,118,163,-1,0,4071,431,4664,1,4665,276025,133632
Emilia-Romagna,106,11,117,924,1041,-3,42,23142,4252,27951,484,28435,483309,288719
Friuli Venezia Giulia,12,0,12,30,42,-6,0,2920,345,3306,1,3307,185651,105108
Lazio,185,13,198,629,827,11,18,6418,837,5977,2105,8082,331599,271209
Liguria,49,3,52,216,268,4,5,8138,1557,9013,950,9963,144156,77180
Lombardia,415,43,458,10534,10992,-648,77,66046,16626,88764,4900,93664,1014321,606607
Marche,9,0,9,348,357,-50,2,5437,991,6785,0,6785,135122,81511
Molise,0,0,0,26,26,-3,0,396,23,444,1,445,22233,21165
P.A. Bolzano,4,1,5,82,87,2,2,2257,292,2636,0,2636,83040,40235
P.A. Trento,2,0,2,49,51,-1,1,4404,405,3375,1485,4860,119039,61511
Piemonte,303,12,315,1188,1503,-82,11,25739,4080,27491,3831,31322,408836,255473
Puglia,27,0,27,120,147,-6,0,3841,543,2258,2273,4531,173422,115265
Sardegna,6,0,6,7,13,1,1,1218,132,1360,3,1363,81351,68359
Sicilia,20,4,24,106,130,1,1,2666,281,2748,329,3077,204184,167299
Toscana,14,6,20,298,318,4,12,8817,1103,10039,199,10238,329865,225524
Umbria,2,1,3,7,10,0,0,1350,80,1428,12,1440,93571,64026
Valle d'Aosta,2,0,2,2,4,0,0,1044,146,1083,111,1194,17988,13635
Veneto,18,1,19,463,482,-5,2,16775,2007,19253,11,19264,937417,403556
