denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,27,0,27,118,145,-8,1,2701,464,3104,206,3310,111752,74235
Basilicata,1,0,1,4,5,1,1,373,27,401,4,405,41330,40550
Calabria,4,0,4,24,28,1,1,1060,97,1159,26,1185,101642,99608
Campania,36,0,36,192,228,2,3,4090,432,4693,57,4750,296630,146632
Emilia-Romagna,99,10,109,962,1071,11,49,23415,4269,28041,714,28755,531089,317517
Friuli Venezia Giulia,8,0,8,74,82,10,4,2904,345,3325,6,3331,204580,111069
Lazio,198,13,211,663,874,1,14,6508,842,6043,2181,8224,357307,293031
Liguria,36,1,37,250,287,2,3,8161,1558,8557,1449,10006,157429,84072
Lombardia,211,34,245,8215,8460,-614,71,69466,16725,89010,5641,94651,1103015,660133
Marche,5,0,5,179,184,-1,3,5623,987,6794,0,6794,145099,87842
Molise,0,0,0,17,17,-1,0,405,23,444,1,445,23963,22851
P.A. Bolzano,6,0,6,77,83,0,2,2275,292,2650,0,2650,88462,43534
P.A. Trento,3,0,3,34,37,-3,0,4434,405,3380,1496,4876,129180,65705
Piemonte,205,8,213,927,1140,-33,25,26212,4107,26476,4983,31459,438250,271685
Puglia,14,0,14,64,78,-1,1,3912,546,2082,2454,4536,193757,130637
Sardegna,3,0,3,7,10,-3,0,1227,134,1360,11,1371,89561,75894
Sicilia,7,0,7,120,127,-13,1,2687,283,2749,348,3097,227239,184302
Toscana,12,2,14,327,341,2,7,8854,1118,10092,221,10313,360262,242041
Umbria,3,0,3,4,7,-1,0,1360,80,1433,14,1447,102611,68863
Valle d'Aosta,4,0,4,1,5,0,0,1045,146,1082,114,1196,19052,14235
Veneto,17,3,20,366,386,1,7,16928,2034,19270,78,19348,1031906,428743
