denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,19,0,19,102,121,-22,0,2740,467,3113,215,3328,115444,76420
Basilicata,3,0,3,2,5,0,0,374,27,401,5,406,42851,42071
Calabria,5,0,5,52,57,0,0,1062,97,1159,57,1216,106176,104142
Campania,16,1,17,235,252,-1,0,4095,432,4718,61,4779,304517,151799
Emilia-Romagna,93,9,102,1087,1189,-4,13,23511,4271,28103,868,28971,554781,330870
Friuli Venezia Giulia,4,0,4,82,86,6,3,2907,345,3331,7,3338,214706,114618
Lazio,188,10,198,696,894,2,18,6616,846,6086,2270,8356,373026,306387
Liguria,23,0,23,171,194,-24,6,8283,1561,8459,1579,10038,164739,87873
Lombardia,176,27,203,7749,7952,-59,30,70461,16760,89200,5973,95173,1155050,693556
Marche,4,0,4,156,160,1,1,5658,987,6805,0,6805,150309,90950
Molise,1,0,1,8,9,-4,0,414,23,444,2,446,24875,23741
P.A. Bolzano,6,0,6,89,95,0,1,2287,292,2674,0,2674,92044,46009
P.A. Trento,2,0,2,24,26,0,0,4450,405,3381,1500,4881,134858,67405
Piemonte,175,9,184,730,914,-139,3,26478,4115,26106,5401,31507,454092,280065
Puglia,10,0,10,58,68,0,0,3926,547,2052,2489,4541,204917,138661
Sardegna,4,0,4,6,10,0,1,1230,134,1361,13,1374,94052,79670
Sicilia,4,0,4,133,137,14,15,2695,283,2753,362,3115,238702,192474
Toscana,8,2,10,301,311,-24,4,8894,1125,10107,223,10330,375745,251778
Umbria,4,0,4,4,8,0,0,1362,80,1434,16,1450,107301,71359
Valle d'Aosta,3,0,3,1,4,1,0,1046,146,1079,117,1196,19707,14621
Veneto,29,2,31,396,427,15,19,16952,2041,19287,133,19420,1076719,442646
