denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,17,0,17,102,119,-1,1,2747,468,3116,218,3334,117780,77893
Basilicata,3,0,3,2,5,0,0,373,27,402,3,405,43697,42912
Calabria,6,0,6,63,69,4,5,1065,97,1159,72,1231,108711,106677
Campania,49,1,50,222,272,10,12,4098,433,4739,64,4803,309290,154665
Emilia-Romagna,87,8,95,1133,1228,30,54,23586,4273,28151,936,29087,568779,339384
Friuli Venezia Giulia,7,0,7,89,96,-1,3,2905,345,3339,7,3346,222778,116622
Lazio,175,9,184,668,852,2,14,6698,849,6105,2294,8399,381039,313544
Liguria,29,0,29,157,186,-15,2,8301,1565,8447,1605,10052,169186,90102
Lombardia,159,22,181,7240,7421,-88,55,71172,16778,89280,6091,95371,1186114,712261
Marche,3,1,4,151,155,-1,3,5667,987,6809,0,6809,153879,92653
Molise,1,0,1,7,8,-1,0,415,23,444,2,446,25381,24242
P.A. Bolzano,6,0,6,95,101,1,4,2289,292,2682,0,2682,94576,47745
P.A. Trento,0,0,0,16,16,-2,0,4460,405,3381,1500,4881,138920,68352
Piemonte,150,6,156,700,856,-12,8,26555,4119,25904,5626,31530,462863,285503
Puglia,12,0,12,58,70,2,5,3929,548,2053,2494,4547,211843,144093
Sardegna,5,0,5,5,10,-1,0,1233,134,1362,15,1377,97058,82095
Sicilia,9,0,9,149,158,4,4,2695,283,2753,383,3136,245437,197335
Toscana,12,1,13,305,318,3,6,8909,1129,10130,226,10356,384826,257616
Umbria,6,0,6,6,12,2,2,1362,80,1436,18,1454,110114,72708
Valle d'Aosta,2,0,2,0,2,0,0,1048,146,1079,117,1196,20023,14770
Veneto,33,2,35,467,502,47,55,16976,2047,19301,224,19525,1101965,451085
