denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,15,0,15,102,117,-2,1,2750,468,3113,222,3335,118745,78469
Basilicata,3,0,3,2,5,0,0,373,27,402,3,405,44020,43235
Calabria,5,0,5,70,75,6,7,1066,97,1159,79,1238,109655,107621
Campania,44,1,45,242,287,15,15,4098,433,4754,64,4818,310851,155873
Emilia-Romagna,85,8,93,1141,1234,6,40,23619,4274,28166,961,29127,573554,342592
Friuli Venezia Giulia,7,0,7,92,99,3,4,2906,345,3343,7,3350,224856,117057
Lazio,174,9,183,683,866,14,20,6703,850,6115,2304,8419,384054,316173
Liguria,28,0,28,172,200,14,18,8305,1565,8462,1608,10070,170650,90954
Lombardia,149,22,171,7084,7255,-166,88,71416,16788,89332,6127,95459,1195168,717516
Marche,2,1,3,152,155,0,3,5670,987,6812,0,6812,154887,93195
Molise,1,0,1,7,8,0,0,415,23,444,2,446,25586,24446
P.A. Bolzano,6,0,6,95,101,0,1,2290,292,2683,0,2683,95499,48340
P.A. Trento,0,0,0,19,19,3,3,4460,405,3384,1500,4884,140283,68722
Piemonte,150,6,156,691,847,-9,3,26567,4119,25844,5689,31533,465526,287012
Puglia,14,0,14,58,72,2,3,3930,548,2054,2496,4550,213873,145802
Sardegna,7,0,7,4,11,1,1,1233,134,1363,15,1378,97807,82738
Sicilia,14,0,14,148,162,4,4,2695,283,2753,387,3140,247379,198568
Toscana,12,1,13,301,314,-4,2,8915,1129,10132,226,10358,387885,259442
Umbria,6,0,6,8,14,2,2,1362,80,1437,19,1456,111045,73180
Valle d'Aosta,2,0,2,0,2,0,0,1048,146,1079,117,1196,20104,14826
Veneto,33,2,35,490,525,23,34,16985,2049,19307,252,19559,1111097,454065
