denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,13,0,13,108,121,4,6,2753,468,3117,225,3342,119651,79070
Basilicata,2,0,2,5,7,0,0,373,28,402,6,408,44271,43486
Calabria,3,0,3,68,71,-1,0,1071,97,1159,80,1239,110657,108623
Campania,32,0,32,264,296,2,6,4104,433,4769,64,4833,312536,157038
Emilia-Romagna,91,6,97,1201,1298,32,42,23645,4277,28190,1030,29220,578586,346535
Friuli Venezia Giulia,7,0,7,92,99,3,4,2912,345,3346,10,3356,227019,118033
Lazio,175,9,184,701,885,13,14,6714,851,6128,2322,8450,389441,321110
Liguria,28,0,28,157,185,-19,12,8355,1565,8467,1638,10105,172251,91898
Lombardia,151,21,172,6969,7141,-99,56,71611,16796,89367,6181,95548,1206495,724365
Marche,2,1,3,143,146,-4,0,5678,987,6811,0,6811,156150,93877
Molise,1,0,1,7,8,0,0,415,23,444,2,446,25745,24605
P.A. Bolzano,6,0,6,94,100,-1,0,2292,292,2684,0,2684,96471,48867
P.A. Trento,1,0,1,19,20,4,4,4464,405,3387,1502,4889,141389,69051
Piemonte,150,6,156,677,833,-4,1,26584,4120,25790,5747,31537,468990,288837
Puglia,14,0,14,65,79,0,0,3930,548,2054,2503,4557,216402,147702
Sardegna,7,0,7,5,12,0,0,1233,134,1363,16,1379,98802,83626
Sicilia,10,2,12,145,157,-5,2,2704,283,2753,391,3144,249824,200038
Toscana,10,0,10,314,324,-1,1,8921,1130,10148,227,10375,391998,261958
Umbria,6,0,6,6,12,0,0,1364,80,1437,19,1456,111968,73653
Valle d'Aosta,1,0,1,0,1,-2,0,1049,146,1079,117,1196,20270,14947
Veneto,35,2,37,572,609,42,42,16990,2050,19317,332,19649,1123386,457249
