denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,8,2,10,105,115,6,10,2767,470,3125,227,3352,122303,80636
Basilicata,2,0,2,44,46,3,3,373,28,402,45,447,45091,44306
Calabria,3,0,3,74,77,2,2,1071,97,1159,86,1245,113791,111757
Campania,35,1,36,293,329,14,16,4111,434,4810,64,4874,318303,160605
Emilia-Romagna,79,6,85,1265,1350,25,55,23719,4281,28235,1115,29350,597289,357173
Friuli Venezia Giulia,7,1,8,89,97,-1,3,2921,345,3349,14,3363,234588,120339
Lazio,180,9,189,718,907,18,26,6735,856,6148,2350,8498,397055,327552
Liguria,29,0,29,170,199,4,15,8374,1566,8486,1653,10139,177278,94903
Lombardia,139,17,156,6785,6941,-34,82,71973,16801,89426,6289,95715,1232915,740405
Marche,2,1,3,134,137,-3,1,5691,987,6815,0,6815,159476,95858
Molise,0,0,0,17,17,6,9,419,23,457,2,459,26334,25185
P.A. Bolzano,6,0,6,83,89,-7,1,2305,292,2686,0,2686,98178,49882
P.A. Trento,2,0,2,69,71,30,30,4465,405,3389,1552,4941,144277,70026
Piemonte,144,6,150,635,785,-4,9,26659,4123,25624,5943,31567,478882,294261
Puglia,11,0,11,53,64,8,9,3953,548,2014,2551,4565,223789,153199
Sardegna,7,0,7,7,14,2,2,1234,134,1364,18,1382,101231,85852
Sicilia,10,3,13,150,163,2,5,2712,283,2762,396,3158,257971,205508
Toscana,14,1,15,313,328,-4,4,8935,1131,10166,228,10394,401479,267719
Umbria,6,0,6,11,17,1,2,1366,80,1443,20,1463,115059,75059
Valle d'Aosta,1,0,1,0,1,0,0,1049,146,1079,117,1196,20668,15131
Veneto,28,2,30,627,657,14,22,17010,2062,19340,389,19729,1149084,465433
