denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,14,1,15,92,107,-7,1,2790,472,3131,238,3369,125542,82644
Basilicata,2,0,2,45,47,0,0,374,28,402,47,449,46282,45492
Calabria,3,0,3,80,83,5,5,1072,97,1159,93,1252,117706,115672
Campania,27,4,31,362,393,28,29,4128,434,4883,72,4955,326098,167057
Emilia-Romagna,72,3,75,1384,1459,3,20,23830,4286,28310,1265,29575,625962,379540
Friuli Venezia Giulia,7,2,9,103,112,0,0,2918,345,3361,14,3375,243893,123405
Lazio,194,9,203,739,942,-2,10,6773,862,6175,2402,8577,409189,337657
Liguria,27,0,27,182,209,-1,3,8402,1566,8463,1714,10177,184178,98525
Lombardia,151,13,164,6514,6678,-47,53,72528,16802,89560,6448,96008,1271875,763406
Marche,4,0,4,116,120,8,11,5731,987,6838,0,6838,163868,98242
Molise,1,0,1,24,25,0,0,421,23,467,2,469,27168,26017
P.A. Bolzano,7,0,7,78,85,-9,2,2315,292,2692,0,2692,102095,52364
P.A. Trento,1,0,1,93,94,0,0,4467,405,3392,1574,4966,149099,71558
Piemonte,136,5,141,660,801,-1,12,26694,4127,25398,6224,31622,490394,300716
Puglia,15,0,15,67,82,3,4,3963,551,1985,2611,4596,233247,160386
Sardegna,5,0,5,16,21,6,6,1237,134,1365,27,1392,104201,88391
Sicilia,29,2,31,175,206,12,19,2726,283,2782,433,3215,267962,211860
Toscana,13,0,13,350,363,0,3,8944,1134,10210,231,10441,414464,275553
Umbria,7,1,8,9,17,0,0,1368,80,1444,21,1465,118369,76851
Valle d'Aosta,1,0,1,10,11,10,10,1049,146,1088,118,1206,21176,15399
Veneto,33,0,33,721,754,20,24,17026,2069,19368,481,19849,1191525,476975
