denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,16,1,17,107,124,8,9,2802,472,3139,259,3398,130877,85744
Basilicata,2,0,2,49,51,0,0,374,28,402,51,453,47706,46916
Calabria,5,1,6,92,98,0,0,1075,97,1159,111,1270,122601,120567
Campania,47,2,49,348,397,-4,4,4187,436,4944,76,5020,338018,174985
Emilia-Romagna,68,3,71,1489,1560,20,34,23957,4291,28403,1405,29808,678601,409341
Friuli Venezia Giulia,9,3,12,124,136,-1,0,2929,346,3388,23,3411,256348,127228
Lazio,174,9,183,791,974,10,15,6859,864,6209,2488,8697,424283,349522
Liguria,21,0,21,174,195,-21,2,8475,1568,8468,1770,10238,192669,102878
Lombardia,162,9,171,5624,5795,-26,25,73724,16818,89689,6648,96337,1320427,794279
Marche,13,0,13,127,140,-7,0,5770,987,6897,0,6897,169125,101386
Molise,1,0,1,32,33,2,2,421,23,475,2,477,28221,27070
P.A. Bolzano,7,0,7,105,112,5,6,2330,292,2734,0,2734,107735,55757
P.A. Trento,3,0,3,97,100,1,2,4476,405,3396,1585,4981,155785,73149
Piemonte,95,5,100,713,813,3,13,26767,4131,25169,6542,31711,504973,309217
Puglia,23,0,23,102,125,5,9,3970,553,1994,2654,4648,244174,168787
Sardegna,3,0,3,41,44,1,2,1238,134,1370,46,1416,107836,91739
Sicilia,36,3,39,249,288,3,3,2737,283,2824,484,3308,281658,220629
Toscana,16,1,17,381,398,1,10,8974,1136,10270,238,10508,432068,285916
Umbria,7,0,7,20,27,1,1,1368,80,1451,24,1475,122665,79126
Valle d'Aosta,1,0,1,12,13,0,0,1050,146,1074,135,1209,21788,15732
Veneto,25,4,29,1022,1051,17,22,17106,2076,19436,797,20233,1253243,491567
