denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,18,1,19,106,125,1,3,2804,472,3141,260,3401,131432,86079
Basilicata,2,0,2,49,51,0,0,374,28,402,51,453,47932,47142
Calabria,6,1,7,92,99,1,2,1076,97,1159,113,1272,123468,121434
Campania,44,2,46,346,392,-5,2,4194,436,4946,76,5022,338946,175739
Emilia-Romagna,79,4,83,1498,1581,21,42,23978,4291,28425,1425,29850,685985,412865
Friuli Venezia Giulia,7,2,9,129,138,2,5,2932,346,3391,25,3416,258647,127931
Lazio,179,8,187,800,987,13,17,6863,864,6219,2495,8714,426671,351191
Liguria,22,0,22,178,200,5,5,8475,1568,8446,1797,10243,193719,103441
Lombardia,160,9,169,5583,5752,-43,44,73810,16819,89704,6677,96381,1326123,797918
Marche,15,0,15,124,139,-1,2,5773,987,6899,0,6899,170279,101871
Molise,1,0,1,32,33,0,0,421,23,475,2,477,28349,27197
P.A. Bolzano,7,0,7,111,118,6,6,2330,292,2740,0,2740,108171,56024
P.A. Trento,3,0,3,85,88,-12,2,4490,405,3397,1586,4983,156181,73352
Piemonte,101,6,107,691,798,-15,8,26789,4132,25147,6572,31719,508134,310492
Puglia,22,0,22,109,131,6,7,3971,553,1995,2660,4655,246581,170642
Sardegna,3,0,3,42,45,1,2,1239,134,1370,48,1418,108850,92306
Sicilia,34,3,37,256,293,5,10,2741,284,2832,486,3318,284328,222225
Toscana,18,0,18,387,405,7,11,8977,1137,10278,241,10519,434741,287473
Umbria,7,0,7,22,29,2,2,1368,80,1451,26,1477,123724,79586
Valle d'Aosta,1,0,1,12,13,0,0,1050,146,1091,118,1209,21925,15819
Veneto,32,5,37,1028,1065,14,20,17111,2077,19446,807,20253,1260403,494299
