denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,24,1,25,194,219,6,7,2818,472,3175,334,3509,136365,88650
Basilicata,0,0,0,72,72,-3,0,376,28,402,74,476,49392,48602
Calabria,8,1,9,92,101,1,2,1091,97,1159,130,1289,128190,126156
Campania,34,1,35,363,398,10,14,4254,439,5004,87,5091,350363,183401
Emilia-Romagna,79,4,83,1708,1791,31,39,24073,4296,28533,1627,30160,731849,440041
Friuli Venezia Giulia,10,3,13,151,164,-2,0,2938,347,3418,31,3449,269791,131332
Lazio,195,8,203,878,1081,35,38,6912,867,6260,2600,8860,442833,362827
Liguria,20,2,22,190,212,-4,10,8512,1569,8455,1838,10293,202008,108164
Lombardia,150,9,159,5388,5547,-41,31,74504,16833,90038,6846,96884,1374709,822142
Marche,11,0,11,154,165,-3,2,5804,987,6956,0,6956,176830,105420
Molise,1,0,1,32,33,-2,0,423,23,475,4,479,29162,28003
P.A. Bolzano,8,0,8,120,128,0,1,2354,292,2774,0,2774,114630,59515
P.A. Trento,7,0,7,72,79,1,1,4512,405,3400,1596,4996,162989,75139
Piemonte,87,3,90,719,809,-13,20,26943,4136,24928,6960,31888,522100,318659
Puglia,36,1,37,176,213,26,26,3973,554,1818,2922,4740,256997,177798
Sardegna,6,0,6,56,62,2,2,1245,134,1375,66,1441,113405,95974
Sicilia,45,6,51,399,450,30,32,2751,284,2910,575,3485,296533,230105
Toscana,16,1,17,501,518,8,8,8997,1137,10377,275,10652,451421,297261
Umbria,8,0,8,46,54,5,5,1376,80,1457,53,1510,128298,81825
Valle d'Aosta,5,0,5,10,15,1,1,1056,146,1099,118,1217,22524,16161
Veneto,29,6,35,1222,1257,17,20,17336,2083,19543,1133,20676,1315887,510459
