denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,24,1,25,209,234,13,16,2826,472,3174,358,3532,138681,89847
Basilicata,0,0,0,73,73,1,1,377,28,402,76,478,50248,49448
Calabria,8,1,9,110,119,9,12,1100,97,1159,157,1316,131392,129359
Campania,38,2,40,407,447,23,27,4283,440,5082,88,5170,354546,186543
Emilia-Romagna,79,4,83,1744,1827,20,37,24132,4298,28581,1676,30257,752657,449766
Friuli Venezia Giulia,7,3,10,166,176,12,15,2952,348,3434,42,3476,277160,133284
Lazio,195,9,204,923,1127,6,36,6960,869,6290,2666,8956,449886,367897
Liguria,20,2,22,235,257,30,63,8567,1569,8542,1851,10393,206804,110755
Lombardia,170,11,181,5358,5539,18,74,74754,16835,90188,6940,97128,1394380,833060
Marche,8,0,8,161,169,2,11,5831,987,6987,0,6987,180090,107237
Molise,0,0,0,35,35,6,6,427,23,475,10,485,29599,28421
P.A. Bolzano,7,1,8,114,122,-8,3,2367,292,2781,0,2781,118412,61905
P.A. Trento,1,1,2,61,63,-5,2,4532,405,3401,1599,5000,166427,76012
Piemonte,77,3,80,784,864,9,26,26979,4139,24807,7175,31982,530384,322956
Puglia,46,2,48,228,276,14,16,3979,554,1838,2971,4809,262847,182067
Sardegna,8,0,8,90,98,15,17,1247,134,1379,100,1479,116177,98236
Sicilia,42,6,48,556,604,42,42,2757,284,2956,689,3645,303687,234950
Toscana,13,3,16,574,590,27,28,9008,1137,10407,328,10735,460694,302546
Umbria,10,0,10,52,62,5,7,1382,80,1464,60,1524,131041,83046
Valle d'Aosta,3,0,3,11,14,-1,0,1057,146,1099,118,1217,22938,16397
Veneto,30,6,36,1349,1385,52,84,17406,2094,19612,1273,20885,1342714,518924
