denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,23,1,24,218,242,8,13,2831,472,3186,359,3545,139426,90264
Basilicata,0,0,0,64,64,-9,4,390,28,402,80,482,50626,49836
Calabria,7,1,8,125,133,14,19,1105,97,1159,176,1335,132577,130543
Campania,47,1,48,439,487,40,44,4287,440,5124,90,5214,356781,188242
Emilia-Romagna,76,4,80,1786,1866,39,57,24150,4298,28611,1703,30314,759033,452995
Friuli Venezia Giulia,3,3,6,177,183,7,8,2953,348,3442,42,3484,279382,133870
Lazio,192,9,201,964,1165,38,45,6966,870,6296,2705,9001,452336,369749
Liguria,17,3,20,252,272,15,20,8572,1569,8561,1852,10413,208310,111663
Lombardia,153,12,165,5212,5377,-162,97,75012,16836,90249,6976,97225,1401844,837083
Marche,10,1,11,179,190,21,32,5842,987,7019,0,7019,181370,107918
Molise,0,0,0,35,35,0,0,427,23,475,10,485,29678,28498
P.A. Bolzano,7,1,8,115,123,1,3,2369,292,2784,0,2784,119431,62599
P.A. Trento,2,1,3,60,63,0,3,4535,405,3402,1601,5003,167848,76300
Piemonte,77,3,80,794,874,10,15,26984,4139,24812,7185,31997,531625,323723
Puglia,45,1,46,240,286,10,12,3981,554,1835,2986,4821,264548,183493
Sardegna,8,0,8,95,103,5,5,1247,134,1381,103,1484,116750,98662
Sicilia,46,6,52,579,631,27,36,2766,284,2964,717,3681,305906,236593
Toscana,12,3,15,589,604,14,26,9020,1137,10412,349,10761,463708,304412
Umbria,10,0,10,58,68,6,8,1384,80,1467,65,1532,131894,83413
Valle d'Aosta,3,0,3,10,13,-1,0,1058,146,1099,118,1217,23056,16436
Veneto,33,6,39,1431,1470,85,127,17447,2095,19639,1373,21012,1351358,521232
