denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,27,1,28,230,258,3,5,2840,472,3205,365,3570,141741,91835
Basilicata,0,0,0,70,70,5,8,393,28,402,89,491,51388,50588
Calabria,10,1,11,143,154,5,5,1106,97,1159,198,1357,138078,136044
Campania,49,2,51,545,596,29,35,4311,440,5220,127,5347,366453,195069
Emilia-Romagna,72,4,76,1713,1789,-25,21,24255,4454,28693,1805,30498,780697,463421
Friuli Venezia Giulia,5,3,8,196,204,3,10,2970,348,3471,51,3522,288238,137468
Lazio,218,6,224,1135,1359,30,43,6991,871,6332,2889,9221,463468,378384
Liguria,25,1,26,296,322,27,27,8610,1569,8613,1888,10501,213677,114701
Lombardia,150,14,164,5150,5314,-21,50,75319,16840,90430,7043,97473,1423476,849579
Marche,13,1,14,191,205,10,15,5866,987,7058,0,7058,185136,110364
Molise,0,0,0,44,44,9,9,429,23,486,10,496,30210,29022
P.A. Bolzano,8,1,9,118,127,0,0,2385,292,2804,0,2804,123161,64618
P.A. Trento,2,1,3,56,59,0,2,4542,405,3404,1602,5006,170637,77285
Piemonte,80,3,83,814,897,23,27,27089,4141,24713,7414,32127,540445,328753
Puglia,53,3,56,284,340,15,20,3987,555,1853,3029,4882,270938,188150
Sardegna,9,0,9,113,122,12,12,1256,134,1390,122,1512,119093,100605
Sicilia,54,6,60,662,722,4,13,2785,286,2997,796,3793,313011,241613
Toscana,16,4,20,698,718,31,31,9028,1139,10449,436,10885,474476,311146
Umbria,9,1,10,83,93,8,10,1386,80,1479,80,1559,135130,85191
Valle d'Aosta,1,0,1,7,8,0,0,1064,146,1100,118,1218,23451,16690
Veneto,42,6,48,1640,1688,54,60,17530,2098,19716,1600,21316,1389155,539471
