denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,27,1,28,240,268,3,4,2841,472,3206,375,3581,144159,93423
Basilicata,0,0,0,73,73,2,2,393,28,402,92,494,51958,51168
Calabria,11,1,12,139,151,1,10,1129,97,1159,218,1377,141046,139012
Campania,56,2,58,613,671,53,53,4345,440,5327,129,5456,371608,198778
Emilia-Romagna,77,8,85,1731,1816,21,52,24355,4455,28749,1877,30626,801167,473891
Friuli Venezia Giulia,9,3,12,210,222,12,14,2977,348,3485,62,3547,296072,140671
Lazio,238,6,244,1296,1540,111,115,6999,872,6379,3032,9411,473898,387285
Liguria,21,1,22,333,355,12,31,8636,1571,8629,1933,10562,217976,117149
Lombardia,155,16,171,5252,5423,101,154,75449,16846,90583,7135,97718,1446233,864187
Marche,14,1,15,202,217,10,13,5874,987,7078,0,7078,188355,112396
Molise,1,0,1,54,55,4,4,429,23,497,10,507,30677,29488
P.A. Bolzano,8,1,9,130,139,17,21,2401,292,2832,0,2832,125723,66156
P.A. Trento,2,1,3,41,44,0,4,4563,405,3404,1608,5012,174424,78859
Piemonte,83,3,86,891,977,46,52,27102,4142,24645,7576,32221,548568,334082
Puglia,58,3,61,328,389,19,20,3991,555,1876,3059,4935,276314,192370
Sardegna,12,0,12,159,171,17,23,1262,134,1409,158,1567,121352,102561
Sicilia,41,8,49,741,790,24,37,2799,286,3024,851,3875,318852,245539
Toscana,24,5,29,772,801,55,59,9044,1139,10476,508,10984,483726,317235
Umbria,10,1,11,101,112,17,17,1388,80,1488,92,1580,138051,86741
Valle d'Aosta,1,0,1,10,11,1,1,1064,146,1103,118,1221,23753,16893
Veneto,35,7,42,1747,1789,128,159,17645,2100,19765,1769,21534,1416684,553065
