denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,37,1,38,357,395,12,14,2872,472,3309,430,3739,154590,100339
Basilicata,1,1,2,85,87,4,5,408,28,405,118,523,56000,55210
Calabria,17,0,17,181,198,9,11,1148,97,1159,284,1443,153540,151506
Campania,72,2,74,1697,1771,175,188,4396,445,6098,514,6612,406749,227878
Emilia-Romagna,98,10,108,2661,2769,148,149,24468,4459,29241,2455,31696,884399,519748
Friuli Venezia Giulia,15,0,15,333,348,1,20,3052,348,3627,121,3748,323840,151497
Lazio,293,8,301,2581,2882,166,171,7127,878,6643,4244,10887,558605,455146
Liguria,29,1,30,463,493,24,47,8790,1571,8644,2210,10854,234286,126071
Lombardia,185,18,203,6442,6645,191,289,76200,16860,91476,8229,99705,1574104,957455
Marche,10,1,11,285,296,5,12,5940,987,7223,0,7223,202668,120551
Molise,3,0,3,66,69,2,2,432,23,502,22,524,33077,31853
P.A. Bolzano,8,2,10,180,190,1,9,2442,292,2924,0,2924,136144,72200
P.A. Trento,3,1,4,80,84,10,14,4595,405,3441,1643,5084,185428,82538
Piemonte,81,5,86,1297,1383,37,90,27256,4145,24402,8382,32784,582786,357323
Puglia,112,5,117,631,748,64,65,4029,556,1981,3352,5333,300338,212037
Sardegna,24,2,26,665,691,69,70,1267,134,1560,532,2092,133400,113122
Sicilia,70,10,80,1004,1084,26,29,2887,286,3137,1120,4257,343982,264227
Toscana,44,5,49,1372,1421,72,92,9125,1141,10650,1037,11687,528647,348617
Umbria,11,1,12,226,238,9,12,1435,80,1516,237,1753,152004,94548
Valle d'Aosta,1,0,1,18,19,4,4,1065,146,1108,122,1230,24678,17463
Veneto,54,6,60,2285,2345,92,151,18290,2120,19956,2799,22755,1540353,604918
