denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,41,4,45,532,577,-2,1,2966,473,3507,509,4016,175960,114031
Basilicata,5,1,6,150,156,0,0,429,28,414,199,613,63833,63023
Calabria,29,2,31,344,375,-20,3,1245,98,1159,559,1718,175699,173593
Campania,286,19,305,3699,4004,63,90,4759,452,7915,1300,9215,501568,306866
Emilia-Romagna,165,18,183,3881,4064,125,127,25098,4469,30178,3453,33631,1030781,599934
Friuli Venezia Giulia,22,3,25,567,592,3,4,3220,349,3910,251,4161,361533,165276
Lazio,410,17,427,4469,4896,141,181,7523,885,7136,6168,13304,729251,606736
Liguria,126,12,138,1062,1200,57,65,9135,1582,9030,2887,11917,267430,144077
Lombardia,262,28,290,8558,8848,59,125,77715,16901,93294,10170,103464,1830924,1134109
Marche,15,2,17,511,528,8,11,6044,989,7561,0,7561,224672,132543
Molise,4,1,5,91,96,3,4,450,23,531,38,569,37705,36332
P.A. Bolzano,8,0,8,295,303,7,7,2540,292,3135,0,3135,151821,80293
P.A. Trento,11,0,11,448,459,17,20,4657,405,3610,1911,5521,204604,89459
Piemonte,114,9,123,2006,2129,32,61,27532,4153,23990,9824,33814,640885,393413
Puglia,203,11,214,1499,1713,35,61,4225,572,2151,4359,6510,351539,252699
Sardegna,85,16,101,1339,1440,36,54,1348,140,1718,1210,2928,159402,135511
Sicilia,136,16,152,1690,1842,49,65,3172,292,3593,1713,5306,402836,301876
Toscana,82,18,100,2400,2500,41,59,9523,1150,11136,2037,13173,633578,426415
Umbria,19,5,24,419,443,5,12,1554,81,1574,504,2078,177109,107533
Valle d'Aosta,3,1,4,35,39,3,3,1078,146,1132,131,1263,26528,18560
Veneto,96,14,110,2873,2983,16,55,19737,2144,20329,4535,24864,1715769,673892
