denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,42,5,47,559,606,15,18,2973,473,3533,519,4052,178556,115700
Basilicata,6,1,7,157,164,3,5,431,28,414,209,623,64863,64053
Calabria,28,2,30,359,389,15,19,1254,98,1159,582,1741,178553,176447
Campania,301,19,320,3877,4197,117,186,4888,452,8213,1324,9537,511535,315063
Emilia-Romagna,174,19,193,3986,4179,77,106,25213,4470,30293,3569,33862,1050690,607881
Friuli Venezia Giulia,22,3,25,587,612,3,29,3249,349,3949,261,4210,367917,167456
Lazio,467,18,485,4643,5128,131,165,7593,887,7208,6400,13608,744889,621049
Liguria,136,13,149,1174,1323,72,73,9225,1583,9085,3046,12131,273210,147046
Lombardia,264,30,294,8510,8804,5,159,78090,16905,93456,10343,103799,1868154,1160353
Marche,15,2,17,544,561,25,38,6063,989,7613,0,7613,227277,134034
Molise,3,1,4,95,99,2,6,454,23,538,38,576,38140,36757
P.A. Bolzano,17,2,19,304,323,3,12,2553,292,3168,0,3168,153953,81388
P.A. Trento,13,0,13,488,501,27,32,4667,405,3624,1949,5573,207753,90609
Piemonte,123,6,129,2098,2227,70,117,27590,4153,23957,10013,33970,649585,397218
Puglia,204,14,218,1645,1863,87,103,4252,574,2179,4510,6689,360787,257428
Sardegna,88,17,105,1375,1480,23,27,1371,140,1728,1263,2991,162836,138426
Sicilia,155,16,171,1817,1988,69,90,3190,295,3690,1783,5473,412972,308515
Toscana,88,20,108,2480,2588,61,90,9565,1151,11177,2127,13304,644645,433964
Umbria,27,5,32,436,468,9,17,1568,81,1583,534,2117,181097,109462
Valle d'Aosta,5,0,5,37,42,0,1,1079,146,1137,130,1267,26835,18731
Veneto,107,14,121,2869,2990,6,159,19997,2151,20393,4745,25138,1740304,683212
