denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,54,5,59,683,742,3,18,3010,475,3669,558,4227,187204,120852
Basilicata,10,1,11,166,177,14,14,447,28,422,230,652,67504,66694
Calabria,29,4,33,457,490,22,24,1280,98,1159,709,1868,188138,186032
Campania,360,23,383,4572,4955,58,156,5247,457,9137,1522,10659,548330,345740
Emilia-Romagna,185,22,207,4426,4633,15,56,25400,4478,30622,3889,34511,1100226,631253
Friuli Venezia Giulia,21,5,26,677,703,7,14,3351,350,4092,312,4404,384040,173067
Lazio,482,31,513,5517,6030,190,238,7851,899,7552,7228,14780,801697,669956
Liguria,148,17,165,1365,1530,5,105,9539,1592,9308,3353,12661,288170,154818
Lombardia,294,34,328,8699,9027,-49,182,79078,16925,94164,10866,105030,1968107,1225067
Marche,24,3,27,633,660,10,18,6120,989,7769,0,7769,235017,138616
Molise,5,1,6,125,131,-1,2,466,23,580,40,620,40000,38579
P.A. Bolzano,20,1,21,427,448,8,8,2589,292,3329,0,3329,163340,86311
P.A. Trento,13,0,13,535,548,-10,25,4808,405,3679,2082,5761,216684,93785
Piemonte,164,7,171,2222,2393,35,84,27931,4156,23572,10908,34480,676662,411192
Puglia,204,10,214,1976,2190,1,67,4371,581,2253,4889,7142,381476,271426
Sardegna,96,21,117,1606,1723,9,53,1490,143,1809,1547,3356,173660,147183
Sicilia,224,15,239,2151,2390,42,108,3455,300,4087,2058,6145,442373,327407
Toscana,98,21,119,2939,3058,40,74,9760,1152,11457,2513,13970,686702,462715
Umbria,28,4,32,437,469,1,26,1694,84,1616,631,2247,190643,114754
Valle d'Aosta,4,0,4,45,49,1,1,1087,146,1152,130,1282,27872,19320
Veneto,141,14,155,2988,3143,9,119,20696,2165,20745,5259,26004,1808134,707232
