denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,197,13,210,2459,2669,156,159,3190,494,5282,1071,6353,246937,155193
Basilicata,51,1,52,646,698,18,22,559,39,453,843,1296,89021,88191
Calabria,66,5,71,1099,1170,98,108,1595,104,1159,1710,2869,240223,238117
Campania,884,85,969,17345,18314,1449,1593,8576,522,25252,2160,27412,778882,529648
Emilia-Romagna,481,70,551,9119,9670,507,552,27222,4518,34342,7068,41410,1383324,763923
Friuli Venezia Giulia,62,13,75,2093,2168,87,90,3973,364,6017,488,6505,478383,210178
Lazio,1130,111,1241,13950,15191,811,939,9703,1033,11105,14822,25927,1163907,954419
Liguria,436,34,470,3441,3911,152,323,12886,1641,12884,5554,18438,378314,199539
Lombardia,1136,113,1249,23385,24634,1340,1687,86738,17084,109408,19048,128456,2516861,1575120
Marche,97,16,113,2005,2118,73,98,6443,995,9556,0,9556,284664,166944
Molise,12,0,12,381,393,38,38,575,26,949,45,994,55111,52049
P.A. Bolzano,67,7,74,1616,1690,83,85,2920,294,4904,0,4904,205014,106284
P.A. Trento,44,0,44,819,863,62,79,5643,418,4007,2917,6924,262752,108329
Piemonte,883,61,944,9663,10607,774,933,30113,4203,26243,18680,44923,868770,511428
Puglia,397,38,435,5028,5463,230,321,5604,639,3144,8562,11706,491204,346220
Sardegna,210,33,243,3259,3502,106,159,2579,174,2600,3655,6255,231011,195681
Sicilia,521,72,593,6426,7019,229,362,5267,368,8095,4559,12654,598721,428508
Toscana,449,62,511,10340,10851,865,986,11731,1206,18734,5054,23788,927802,624289
Umbria,131,15,146,2423,2569,138,167,2247,93,2099,2810,4909,254330,150026
Valle d'Aosta,26,4,30,628,658,130,135,1142,146,1746,200,1946,33852,23091
Veneto,396,44,440,9405,9845,420,502,24253,2255,22902,13451,36353,2150361,838391
