denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,210,15,225,2620,2845,176,184,3194,495,5319,1215,6534,250052,156991
Basilicata,51,1,52,661,713,15,17,561,39,453,860,1313,90136,89296
Calabria,73,6,79,1173,1252,82,94,1607,104,1159,1804,2963,242700,240594
Campania,946,91,1037,18421,19458,1144,1312,8732,534,26534,2190,28724,789087,538297
Emilia-Romagna,531,78,609,9559,10168,498,507,27226,4523,34633,7284,41917,1399873,769327
Friuli Venezia Giulia,65,14,79,1853,1932,-236,131,4338,366,6115,521,6636,482298,211397
Lazio,1196,123,1319,15014,16333,1142,1224,9780,1038,11206,15945,27151,1185024,969373
Liguria,505,32,537,3947,4484,573,907,13214,1647,13628,5717,19345,384376,202738
Lombardia,1268,123,1391,24913,26304,1670,2023,87072,17103,110712,19767,130479,2538587,1588800
Marche,99,19,118,2064,2182,64,89,6467,996,9645,0,9645,286546,167857
Molise,12,0,12,401,413,20,26,581,26,975,45,1020,55589,52527
P.A. Bolzano,96,7,103,1791,1894,204,209,2924,295,5113,0,5113,206833,107299
P.A. Trento,45,1,46,718,764,-99,94,5836,418,4039,2979,7018,263606,108619
Piemonte,1037,62,1099,10783,11882,1275,1396,30228,4209,25539,20780,46319,881788,519289
Puglia,432,39,471,5259,5730,267,295,5629,642,3240,8761,12001,497031,350691
Sardegna,226,34,260,3426,3686,184,221,2613,177,2674,3802,6476,233027,197486
Sicilia,542,77,619,6878,7497,478,574,5353,378,8485,4743,13228,606852,434040
Toscana,475,72,547,10999,11546,695,812,11846,1208,19332,5268,24600,939153,631648
Umbria,150,20,170,2505,2675,106,194,2335,93,2133,2970,5103,258701,152168
Valle d'Aosta,36,5,41,684,725,67,75,1150,146,1813,208,2021,34435,23263
Veneto,459,51,510,9746,10256,411,490,24319,2268,22987,13856,36843,2158487,841548
