denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
Abruzzo,249,21,270,4083,4353,268,348,3537,524,6549,1865,8414,270057,168842
Basilicata,66,6,72,937,1009,-4,8,651,44,485,1219,1704,96556,95707
Calabria,108,9,117,2067,2184,171,180,1678,108,1162,2808,3970,260121,258151
Campania,1191,123,1314,29361,30675,1955,1981,9332,587,38178,2416,40594,871772,594439
Emilia-Romagna,816,93,909,14860,15769,941,1146,27544,4564,37412,10465,47877,1488534,811249
Friuli Venezia Giulia,119,27,146,3139,3285,258,334,4833,377,7686,809,8495,511144,220578
Lazio,1599,158,1757,22649,24406,1591,1698,10414,1116,13424,22512,35936,1313163,1071581
Liguria,788,46,834,5608,6442,406,419,15324,1704,16837,6633,23470,412289,215143
Lombardia,2459,242,2701,47624,50325,2342,3570,90356,17252,129608,28325,157933,2737039,1711397
Marche,227,26,253,3669,3922,196,238,6752,1004,11678,0,11678,304340,178313
Molise,19,3,22,618,640,90,101,651,28,1270,49,1319,59951,56300
P.A. Bolzano,152,12,164,3337,3501,314,321,2955,299,6755,0,6755,221307,114559
P.A. Trento,81,5,86,1354,1440,108,113,6039,426,4470,3435,7905,276004,111484
Piemonte,1849,102,1951,19316,21267,1390,1625,31620,4273,29063,28097,57160,955500,574505
Puglia,589,59,648,7631,8279,407,424,6018,673,4289,10681,14970,526008,372347
Sardegna,303,35,338,4582,4920,166,231,2878,192,3113,4877,7990,250901,213063
Sicilia,677,98,775,10170,10945,390,568,6081,439,11173,6292,17465,647327,459725
Toscana,779,110,889,18487,19376,2056,2171,12810,1275,26539,6922,33461,1013957,680058
Umbria,239,31,270,4313,4583,188,263,2867,108,2638,4920,7558,278289,162797
Valle d'Aosta,75,2,77,1239,1316,135,144,1199,154,2388,281,2669,38331,24533
Veneto,612,76,688,17359,18047,1075,1129,25087,2332,24066,21400,45466,2246098,874701
